LÍNEAS DE CRÉDITO
Fecha más reciente en el registro deingresos: 22/03/2019
Fecha más antigua en el registro deingresos:  30/12/2015
=========================================================
DNI           Teléfono      Banco A     Banco B
81720075     990016459    688807.29    180811.91
12308689     972423768     13337.28     80023.69
12308521     965108224    195577.21    146682.91
89183490     976073831    428100.57    112376.40
95722113     962443321    490829.14    128842.65
23333243     964916765     18564.00      6961.50
83631892     965189259    836274.21     83627.42
10664281     984704211      1854.24     13906.84
62435517     996078590      9722.10      1215.26
92938418     964365140     56850.24     10659.42
38798567     961978305     11333.71      8500.28
93446703     996898253      7667.94     11501.91
06701281     977575041      6895.37      5171.53
97884378     976741628      1056.53      7923.96
86743084     978296755    145240.86      2723.27
07136742     994121003    230465.43      8642.45
54796362     974605263      6870.60      5152.95
93054953     975746183       533.56      4001.70
59838347     976884310    646091.79      8076.15
11892496     973289873     19120.52      7170.20
49479398     990438043     23655.06      4435.32
04252712     968691246    685741.14     32144.12
29655626     965881347    628402.00     94260.30
44593782     987958674    569907.14    213715.18
19474587     985928188      6869.76      2576.16
66229588     972681412     35708.81      4463.60
60349134     995066154       895.57      6716.79
32754869     992664867     18529.43      8685.67
05566268     999081046      9812.06    147180.91
60143661     983265007    112950.86     52945.71
59842803     999368429     12746.99      4780.12
97781662     982951014     53540.31     25097.02
73456108     973001237      1677.97     12584.74
53170244     968122194      1057.49      7931.15
12428998     984433354     51189.11      6398.64
46068238     966169941      1053.39      7900.41
41351511     988568266     12355.29      4633.23
85937565     987876684      9110.62     95661.52
02008326     994066950    313538.14     47030.72
80262752     978730397     96787.94     45369.35
71048203     986908468         0.00         0.00
31842830     997107276     40471.61      5058.95
70492219     977314853    973466.71    146020.01
03740567     974549600     16577.85      2072.23
99082521     991873677      8735.39      6551.54
55306339     963675773     12192.79      2286.15
21295959     998028727    506290.43    132901.24
12257827     975567828      3160.14      2370.11
51433999     991777954     92007.97     43128.74
57034536     965408846    610633.29     61063.33
65084197     985815268    443531.71    415810.98
71740558     998590263     22937.85      2867.23
80964189     977775328    216655.74    101557.38
44880750     991195534     12851.93    134945.25
71482974     976372951    293889.43     88166.83
02141715     966300876       440.46      3303.47
42464105     963670431    589931.43     88489.71
97390328     971026919      2209.37     13256.23
45514602     998998739      7474.49     44846.94
15962411     963326878       236.25      1771.85
85602417     988900153     55425.30      6928.16
31080667     998685823    447511.07     78314.44
84901463     971421533    111436.29     29252.02
66970427     977171486     71547.37     33537.83
48413522     963423910    267808.36    140599.39
87254399     978894924    429756.57    161158.71
70438062     963766925    207322.86     77746.07
80150207     972436538      1428.85     21432.70
28157801     975102143     23994.44      4498.96
94842447     982250311    367302.29     96416.85
98348415     998350628    844948.29     39606.95
17595124     995979053     81601.29     38250.60
18113402     978311015     29683.03      5565.57
29119476     990023937     24617.50      9231.56
02515420     991456476      1392.70     10445.26
83004176     970006488    965497.43    905153.84
51000956     999931328    640877.71     30041.14
05237912     961860715      8612.27    129184.02
05287782     989692675     31226.54      5854.98
41022826     970827907     15561.30      5835.49
68318132     984355712     15323.39      5746.27
09563017     984019938      1925.57     14441.78
09297834     977365280     57095.94     10705.49
60456308     963506604     27029.91     12670.27
63098995     997589218      9897.61     14846.42
16815343     963000325    157044.21     27482.74
18290658     963468905    551976.43     55197.64
97374344     979072786    333759.71     15644.99
63704980     985752427    195961.14     58788.34
